Tweets,Sentiment Score,Clasifier,Result
"____ please save me from rss amp its poisonous thoughts which divide my indians into hindumuslimsikhchristianparsi etc 
 ; If the world is against SalmanKhan then M against THE WORLD                                               Now Tubelight Upcoming TigerZindaHai",,,
"____by 2050 india will become another muslim countrysv99999 hindustanse iamwithmodi 
 ; Churning of India 4 nectar 2 keep it immortalTweets are personal RTs are not an endorsement 
 ; Churning of India 4 nectar 2 keep it immortalTweets are personal RTs are not an endorsement",0.96924345,neg,Negative
"__nation_of_mercy  islam is a religion of mercy and maintains the covenants with all religions 
 ;          
 ;          
 ;          
 ;          
 ;          
 ;          
 ;          
 ;          
 ;          
 ;          
 ;          
 ;          
 ;          
 ;          
 ;          
 ;          
 ;          
 ;          
 ;          
 ;          
 ;          
 ;          
 ;         ",,,
_abdul_manan_ one time somebody for wrk ask me why i be muslim but can speak hausa come see how i bore that day,0.857667644,neg,Negative
_aerian_ eissa_aljuhani kjaberovic spectatorindex alrightme toobut dont you have any gene root in middle eastbecause it seems you so sensitive about islam,,,
_aerian_ eissa_aljuhani kjaberovic spectatorindex its okbut i find you really excited to know and discuss about religion and specially islam,0.970389297,neg,Negative
_makada_ muslim terrorists ask muslim or christian before killing their capturedleftist activists ask republicans or democratsdems are isis,,,
_pallavighosh dalal media has no work to find out gau rakhshak to blame muslim so some work to bark against rg any how rg is replacing feku in 2019,0.902927937,neg,Negative
_sabanaqvi why shouldnt bharat despise islamafterall islam genocided millions of hindus amp muslims still occupy thousands of temples,,,
a 17 yo muslim girl was murdered yesterday in virginia amp today in london a terrorist drove a van into a crowd of muslims leaving prayer,0.655336688,neg,Negative
"a 17-yr old boy is in jail for a fb post a 60-yr old man has been lynched to death muslim mobs are rioting and no one is questioning cm 
 ; nan 
 ; nan 
 ; nan 
 ; nan 
 ; nan 
 ; nan 
 ; nan 
 ; nan 
 ; nan 
 ; nan 
 ; nan",,,
a 17th century painting depicting krishna showing eid moon to his muslim friendswonder how painter would be labelled today anti-national,0.670166627,pos,Negative
a 2 muslim pop in aust has us erecting terrorist bollards and heavily police public areas shorten will increase pop to 30auspol,,,
"a disabled brother went to perform umrah he began making tawaf watch what happened next this is islam 
 ; So remember Me I will remember you And be grateful to Me  do not deny Me  Quran 2152  
 ; So remember Me I will remember you And be grateful to Me  do not deny Me  Quran 2152  
 ; So remember Me I will remember you And be grateful to Me  do not deny Me  Quran 2152  
 ; So remember Me I will remember you And be grateful to Me  do not deny Me  Quran 2152  
 ; So remember Me I will remember you And be grateful to Me  do not deny Me  Quran 2152  
 ; So remember Me I will remember you And be grateful to Me  do not deny Me  Quran 2152  
 ; So remember Me I will remember you And be grateful to Me  do not deny Me  Quran 2152  
 ; So remember Me I will remember you And be grateful to Me  do not deny Me  Quran 2152  
 ; So remember Me I will remember you And be grateful to Me  do not deny Me  Quran 2152  
 ; So remember Me I will remember you And be grateful to Me  do not deny Me  Quran 2152  
 ; So remember Me I will remember you And be grateful to Me  do not deny Me  Quran 2152  
 ; So remember Me I will remember you And be grateful to Me  do not deny Me  Quran 2152  
 ; So remember Me I will remember you And be grateful to Me  do not deny Me  Quran 2152  
 ; So remember Me I will remember you And be grateful to Me  do not deny Me  Quran 2152  
 ; So remember Me I will remember you And be grateful to Me  do not deny Me  Quran 2152  
 ; So remember Me I will remember you And be grateful to Me  do not deny Me  Quran 2152  
 ; So remember Me I will remember you And be grateful to Me  do not deny Me  Quran 2152  
 ; So remember Me I will remember you And be grateful to Me  do not deny Me  Quran 2152  
 ; So remember Me I will remember you And be grateful to Me  do not deny Me  Quran 2152  
 ; So remember Me I will remember you And be grateful to Me  do not deny Me  Quran 2152  
 ; So remember Me I will remember you And be grateful to Me  do not deny Me  Quran 2152  
 ; So remember Me I will remember you And be grateful to Me  do not deny Me  Quran 2152  
 ; So remember Me I will remember you And be grateful to Me  do not deny Me  Quran 2152  
 ; So remember Me I will remember you And be grateful to Me  do not deny Me  Quran 2152  
 ; So remember Me I will remember you And be grateful to Me  do not deny Me  Quran 2152  
 ; So remember Me I will remember you And be grateful to Me  do not deny Me  Quran 2152  
 ; So remember Me I will remember you And be grateful to Me  do not deny Me  Quran 2152  
 ; So remember Me I will remember you And be grateful to Me  do not deny Me  Quran 2152  
 ; So remember Me I will remember you And be grateful to Me  do not deny Me  Quran 2152  
 ; So remember Me I will remember you And be grateful to Me  do not deny Me  Quran 2152  
 ; So remember Me I will remember you And be grateful to Me  do not deny Me  Quran 2152  
 ; So remember Me I will remember you And be grateful to Me  do not deny Me  Quran 2152  
 ; So remember Me I will remember you And be grateful to Me  do not deny Me  Quran 2152  
 ; So remember Me I will remember you And be grateful to Me  do not deny Me  Quran 2152  
 ; So remember Me I will remember you And be grateful to Me  do not deny Me  Quran 2152  
 ; So remember Me I will remember you And be grateful to Me  do not deny Me  Quran 2152  
 ; So remember Me I will remember you And be grateful to Me  do not deny Me  Quran 2152  
 ; So remember Me I will remember you And be grateful to Me  do not deny Me  Quran 2152  
 ; So remember Me I will remember you And be grateful to Me  do not deny Me  Quran 2152  
 ; So remember Me I will remember you And be grateful to Me  do not deny Me  Quran 2152  
 ; So remember Me I will remember you And be grateful to Me  do not deny Me  Quran 2152  
 ; So remember Me I will remember you And be grateful to Me  do not deny Me  Quran 2152  
 ; So remember Me I will remember you And be grateful to Me  do not deny Me  Quran 2152  
 ; So remember Me I will remember you And be grateful to Me  do not deny Me  Quran 2152  
 ; So remember Me I will remember you And be grateful to Me  do not deny Me  Quran 2152  
 ; So remember Me I will remember you And be grateful to Me  do not deny Me  Quran 2152  
 ; So remember Me I will remember you And be grateful to Me  do not deny Me  Quran 2152  
 ; So remember Me I will remember you And be grateful to Me  do not deny Me  Quran 2152  
 ; So remember Me I will remember you And be grateful to Me  do not deny Me  Quran 2152  
 ; So remember Me I will remember you And be grateful to Me  do not deny Me  Quran 2152  
 ; So remember Me I will remember you And be grateful to Me  do not deny Me  Quran 2152  
 ; So remember Me I will remember you And be grateful to Me  do not deny Me  Quran 2152  
 ; So remember Me I will remember you And be grateful to Me  do not deny Me  Quran 2152  
 ; So remember Me I will remember you And be grateful to Me  do not deny Me  Quran 2152  
 ; So remember Me I will remember you And be grateful to Me  do not deny Me  Quran 2152 ",0.880042082,neg,Negative
"a few words to enlighten minds about inter-faith marriages particularly muslim to christians 
 ; i am used to sleeping  escaping from reality   
 ; i am used to sleeping  escaping from reality  ",,,
"a lot of us wont debate with liberalspro-islamlgbtanti-christians but just because were quiet dont misunderstand our intentions 
 ; Faith Family Friends Freedom thats the most important things in life I got on Twitter to support Trump I got in a lot of fights and addicted 
 ; Faith Family Friends Freedom thats the most important things in life I got on Twitter to support Trump I got in a lot of fights and addicted 
 ; Faith Family Friends Freedom thats the most important things in life I got on Twitter to support Trump I got in a lot of fights and addicted 
 ; Faith Family Friends Freedom thats the most important things in life I got on Twitter to support Trump I got in a lot of fights and addicted 
 ; Faith Family Friends Freedom thats the most important things in life I got on Twitter to support Trump I got in a lot of fights and addicted 
 ; Faith Family Friends Freedom thats the most important things in life I got on Twitter to support Trump I got in a lot of fights and addicted 
 ; Faith Family Friends Freedom thats the most important things in life I got on Twitter to support Trump I got in a lot of fights and addicted 
 ; Faith Family Friends Freedom thats the most important things in life I got on Twitter to support Trump I got in a lot of fights and addicted",0.955248974,neg,Negative
"a muslim and a jew urge the supreme court to strike down the muslim ban 
 ; Latest religion news for global professionals  analysts Religion Today is a media monitoring service provided by EIN News 
 ; Latest religion news for global professionals  analysts Religion Today is a media monitoring service provided by EIN News",,,
a muslim brother intervenes to stop a fight in the street and give a meaningful message,0.687106712,neg,Negative
"a muslim brother returned a wallet full of money that doesnt surprise me the wallet owners reaction does 
 ; nan 
 ; nan 
 ; nan 
 ; nan",,,
a muslim guy sins by violating a sister amp informs her amp the conversation revolves around this is why sisters shouldnt post their pics,0.052314011,neg,Positive
a muslim is always special special by his smile his manners his giving his love and his life because his religion is unique,,,
"a muslim man in manchester offered free hugs while blindfolded the reaction is heartwarming 
 ; Accept What Is Let Go Of What Was  Have Faith In What Will Be 
 ; Accept What Is Let Go Of What Was  Have Faith In What Will Be",0.447272518,neg,Positive
a muslim security agent screening for suspected terrorists in detroit - no profiling here,,,
"a muslim woman in karnataka openly threats to kill modialso says hindus should fear as theyve only 2 children amp we dozenpopulation jihad 
 ; Yudham Sharanam Gachami 
 ; Yudham Sharanam Gachami 
 ; Yudham Sharanam Gachami 
 ; Yudham Sharanam Gachami 
 ; Yudham Sharanam Gachami 
 ; Yudham Sharanam Gachami 
 ; Yudham Sharanam Gachami 
 ; Yudham Sharanam Gachami 
 ; Yudham Sharanam Gachami",0.027203027,pos,Negative
a prophet who happens to be a muslim muhammadali salute,,,
"a prostitute converted to islam and later died in suhood 
 ; shinobi dota 
 ; shinobi dota 
 ; shinobi dota",0.984965915,pos,Negative
a six years old girl who was married off without her consent to an old pedophile is the great example of child abuse rape amp pedophilia,,,
"a small correction as minorities they will first create havoc violence and then play victim 
 ; Om Namah ShivayeNO DM 
 ; Om Namah ShivayeNO DM",0.953648036,neg,Negative
a vegan an ex muslim and a girl who doesnt wear makeup walk into a bar who tells you about themselves first,,,
a weekend of rest amp contemplation leads 2 helping others amp build institutions 1st step  supporting immigrants,0.698897775,neg,Negative
"a zillion muslim terrorists terror gaani religiona hindu convert caught terror has a hindu face 
 ; Tweets are random musingsRetweets are just retweetsdo not reflect my thoughts alwaysNothing to do with my job profile or EmployerAnd Yeah I Rant 
 ; Tweets are random musingsRetweets are just retweetsdo not reflect my thoughts alwaysNothing to do with my job profile or EmployerAnd Yeah I Rant",,,
"aalwuhaib1977 bkwolverine vanjones68 lsarsour signaling to muslims to wage jihad on our potus is jihad against the citizens and no stupid jihad isnt some silly little inner struggle 
 ; Support Small Govt Fair MarketChristian ProLife SmallBizOwner IslamisTheProblem 2A TeamCory MVGA AmericaFirst MAGA 
 ; Support Small Govt Fair MarketChristian ProLife SmallBizOwner IslamisTheProblem 2A TeamCory MVGA AmericaFirst MAGA",0.987165218,pos,Negative
aalwuhaib1977 skyrider4438 lsarsour hey if you muslim men think this virgin is more beautiful than any woman on earth who are we to argue with you,,,
aamirwalcott let me put it this way islam forbids us from exposing sins and humanity teaches us to be kind what did u get from exposing those sisters,0.970066909,pos,Negative
aamirwalcott thats the way we are taught islam doesnt reach us to speak about each other in derogatory manners,,,
abbswinston norahcooper79 you dont need to be muslim to stand up for gaza just to need be human,0.089776021,neg,Positive
abc7 only takes a few muslim terrorist to ruin things for all muslims or in this case a few 100000 terrorist,,,
abcthedrum islam moslems the koran created islamophobia why wouldnt we have a phobia about islam for the western world islams a killer,0.068284676,pos,Negative
abcthedrum lisaannese divcouncilaus cooktragic  muslim men dont like to see heads of hair  we need to educate muslim men about hair  covered heads not ozzie culture,,,
"abcthedrum lisaannese divcouncilaus muslims routinely claim the way infidel women dress is an invitation to sexual assault sexual abuse is part of islam australiaphobia 
 ; I have a moral right to my own life Dont Fucking Tell Me What To Do Born 1947",0.978514157,pos,Negative
abcthedrum maybe moslems should be asking themselves if islamophobia exists why it exists look at yourselves amp look at islamthedrum,,,
abdalrrahman11 interbrigades i thought islam is a religion of peace,0.984394788,neg,Negative
abducted raped and forced to marry a muslim man under sharia law though australia is not a caliphate as yet,,,
absolutely,0.126622764,neg,Positive
absurd,,,
abu sufyan was one of the worst enemies of islam,0.970729943,neg,Negative
"aburajwa2611 apam_polkadot etanastea mrscastro246 og_lili_lisa attn welcome to islam 
 ; Im hopeless but hoping ",,,
acid attack on two muslim cousins in london being treated as hate crime,0.975463448,neg,Negative
"activists are taking down trump with instagram photos of their grandmas 
 ; Student  Fan of Narrendra Modhi PM of India  Photography  
 ; Student  Fan of Narrendra Modhi PM of India  Photography  
 ; Student  Fan of Narrendra Modhi PM of India  Photography  
 ; Student  Fan of Narrendra Modhi PM of India  Photography  
 ; Student  Fan of Narrendra Modhi PM of India  Photography  
 ; Student  Fan of Narrendra Modhi PM of India  Photography  
 ; Student  Fan of Narrendra Modhi PM of India  Photography  
 ; Student  Fan of Narrendra Modhi PM of India  Photography ",,,
actually when i think about it he might have a point,0.97908673,neg,Negative
addamschloe if were getting into specifics it is specified in islam that were not supposed to give human characteristics to allah,,,
adnankavustur drawandstrike netanyahu islam is a government hiding behind a thinly veiled religionstop kidding yourself,0.98583224,neg,Negative
"advocates of pakistan a country which puts you to death for making a joke about muhammad or leaving islam say im a disgrace really 
 ; Pizza delivery boy  klpdPlz follow me 
 ; Pizza delivery boy  klpdPlz follow me 
 ; Pizza delivery boy  klpdPlz follow me 
 ; Pizza delivery boy  klpdPlz follow me 
 ; Pizza delivery boy  klpdPlz follow me 
 ; Pizza delivery boy  klpdPlz follow me 
 ; Pizza delivery boy  klpdPlz follow me 
 ; Pizza delivery boy  klpdPlz follow me 
 ; Pizza delivery boy  klpdPlz follow me 
 ; Pizza delivery boy  klpdPlz follow me 
 ; Pizza delivery boy  klpdPlz follow me 
 ; Pizza delivery boy  klpdPlz follow me 
 ; Pizza delivery boy  klpdPlz follow me 
 ; Pizza delivery boy  klpdPlz follow me 
 ; Pizza delivery boy  klpdPlz follow me 
 ; Pizza delivery boy  klpdPlz follow me 
 ; Pizza delivery boy  klpdPlz follow me 
 ; Pizza delivery boy  klpdPlz follow me 
 ; Pizza delivery boy  klpdPlz follow me 
 ; Pizza delivery boy  klpdPlz follow me 
 ; Pizza delivery boy  klpdPlz follow me 
 ; Pizza delivery boy  klpdPlz follow me 
 ; Pizza delivery boy  klpdPlz follow me 
 ; Pizza delivery boy  klpdPlz follow me 
 ; Pizza delivery boy  klpdPlz follow me 
 ; Pizza delivery boy  klpdPlz follow me 
 ; Pizza delivery boy  klpdPlz follow me 
 ; Pizza delivery boy  klpdPlz follow me 
 ; Pizza delivery boy  klpdPlz follow me 
 ; Pizza delivery boy  klpdPlz follow me 
 ; Pizza delivery boy  klpdPlz follow me 
 ; Pizza delivery boy  klpdPlz follow me 
 ; Pizza delivery boy  klpdPlz follow me 
 ; Pizza delivery boy  klpdPlz follow me 
 ; Pizza delivery boy  klpdPlz follow me 
 ; Pizza delivery boy  klpdPlz follow me 
 ; Pizza delivery boy  klpdPlz follow me 
 ; Pizza delivery boy  klpdPlz follow me 
 ; Pizza delivery boy  klpdPlz follow me 
 ; Pizza delivery boy  klpdPlz follow me 
 ; Pizza delivery boy  klpdPlz follow me 
 ; Pizza delivery boy  klpdPlz follow me 
 ; Pizza delivery boy  klpdPlz follow me 
 ; Pizza delivery boy  klpdPlz follow me 
 ; Pizza delivery boy  klpdPlz follow me 
 ; Pizza delivery boy  klpdPlz follow me 
 ; Pizza delivery boy  klpdPlz follow me 
 ; Pizza delivery boy  klpdPlz follow me 
 ; Pizza delivery boy  klpdPlz follow me 
 ; Pizza delivery boy  klpdPlz follow me 
 ; Pizza delivery boy  klpdPlz follow me 
 ; Pizza delivery boy  klpdPlz follow me 
 ; Pizza delivery boy  klpdPlz follow me 
 ; Pizza delivery boy  klpdPlz follow me 
 ; Pizza delivery boy  klpdPlz follow me 
 ; Pizza delivery boy  klpdPlz follow me 
 ; Pizza delivery boy  klpdPlz follow me 
 ; Pizza delivery boy  klpdPlz follow me 
 ; Pizza delivery boy  klpdPlz follow me 
 ; Pizza delivery boy  klpdPlz follow me 
 ; Pizza delivery boy  klpdPlz follow me 
 ; Pizza delivery boy  klpdPlz follow me 
 ; Pizza delivery boy  klpdPlz follow me 
 ; Pizza delivery boy  klpdPlz follow me 
 ; Pizza delivery boy  klpdPlz follow me 
 ; Pizza delivery boy  klpdPlz follow me 
 ; Pizza delivery boy  klpdPlz follow me 
 ; Pizza delivery boy  klpdPlz follow me 
 ; Pizza delivery boy  klpdPlz follow me 
 ; Pizza delivery boy  klpdPlz follow me 
 ; Pizza delivery boy  klpdPlz follow me 
 ; Pizza delivery boy  klpdPlz follow me 
 ; Pizza delivery boy  klpdPlz follow me 
 ; Pizza delivery boy  klpdPlz follow me 
 ; Pizza delivery boy  klpdPlz follow me 
 ; Pizza delivery boy  klpdPlz follow me 
 ; Pizza delivery boy  klpdPlz follow me 
 ; Pizza delivery boy  klpdPlz follow me 
 ; Pizza delivery boy  klpdPlz follow me 
 ; Pizza delivery boy  klpdPlz follow me 
 ; Pizza delivery boy  klpdPlz follow me 
 ; Pizza delivery boy  klpdPlz follow me 
 ; Pizza delivery boy  klpdPlz follow me 
 ; Pizza delivery boy  klpdPlz follow me 
 ; Pizza delivery boy  klpdPlz follow me 
 ; Pizza delivery boy  klpdPlz follow me 
 ; Pizza delivery boy  klpdPlz follow me 
 ; Pizza delivery boy  klpdPlz follow me 
 ; Pizza delivery boy  klpdPlz follow me 
 ; Pizza delivery boy  klpdPlz follow me 
 ; Pizza delivery boy  klpdPlz follow me 
 ; Pizza delivery boy  klpdPlz follow me 
 ; Pizza delivery boy  klpdPlz follow me 
 ; Pizza delivery boy  klpdPlz follow me 
 ; Pizza delivery boy  klpdPlz follow me 
 ; Pizza delivery boy  klpdPlz follow me 
 ; Pizza delivery boy  klpdPlz follow me 
 ; Pizza delivery boy  klpdPlz follow me 
 ; Pizza delivery boy  klpdPlz follow me 
 ; Pizza delivery boy  klpdPlz follow me 
 ; Pizza delivery boy  klpdPlz follow me 
 ; Pizza delivery boy  klpdPlz follow me 
 ; Pizza delivery boy  klpdPlz follow me 
 ; Pizza delivery boy  klpdPlz follow me 
 ; Pizza delivery boy  klpdPlz follow me 
 ; Pizza delivery boy  klpdPlz follow me 
 ; Pizza delivery boy  klpdPlz follow me 
 ; Pizza delivery boy  klpdPlz follow me 
 ; Pizza delivery boy  klpdPlz follow me 
 ; Pizza delivery boy  klpdPlz follow me 
 ; Pizza delivery boy  klpdPlz follow me 
 ; Pizza delivery boy  klpdPlz follow me 
 ; Pizza delivery boy  klpdPlz follow me 
 ; Pizza delivery boy  klpdPlz follow me 
 ; Pizza delivery boy  klpdPlz follow me 
 ; Pizza delivery boy  klpdPlz follow me 
 ; Pizza delivery boy  klpdPlz follow me 
 ; Pizza delivery boy  klpdPlz follow me 
 ; Pizza delivery boy  klpdPlz follow me 
 ; Pizza delivery boy  klpdPlz follow me 
 ; Pizza delivery boy  klpdPlz follow me 
 ; Pizza delivery boy  klpdPlz follow me 
 ; Pizza delivery boy  klpdPlz follow me 
 ; Pizza delivery boy  klpdPlz follow me 
 ; Pizza delivery boy  klpdPlz follow me 
 ; Pizza delivery boy  klpdPlz follow me 
 ; Pizza delivery boy  klpdPlz follow me 
 ; Pizza delivery boy  klpdPlz follow me 
 ; Pizza delivery boy  klpdPlz follow me 
 ; Pizza delivery boy  klpdPlz follow me 
 ; Pizza delivery boy  klpdPlz follow me 
 ; Pizza delivery boy  klpdPlz follow me 
 ; Pizza delivery boy  klpdPlz follow me 
 ; Pizza delivery boy  klpdPlz follow me 
 ; Pizza delivery boy  klpdPlz follow me 
 ; Pizza delivery boy  klpdPlz follow me 
 ; Pizza delivery boy  klpdPlz follow me 
 ; Pizza delivery boy  klpdPlz follow me 
 ; Pizza delivery boy  klpdPlz follow me 
 ; Pizza delivery boy  klpdPlz follow me 
 ; Pizza delivery boy  klpdPlz follow me 
 ; Pizza delivery boy  klpdPlz follow me 
 ; Pizza delivery boy  klpdPlz follow me 
 ; Pizza delivery boy  klpdPlz follow me 
 ; Pizza delivery boy  klpdPlz follow me 
 ; Pizza delivery boy  klpdPlz follow me 
 ; Pizza delivery boy  klpdPlz follow me 
 ; Pizza delivery boy  klpdPlz follow me 
 ; Pizza delivery boy  klpdPlz follow me 
 ; Pizza delivery boy  klpdPlz follow me 
 ; Pizza delivery boy  klpdPlz follow me 
 ; Pizza delivery boy  klpdPlz follow me 
 ; Pizza delivery boy  klpdPlz follow me 
 ; Pizza delivery boy  klpdPlz follow me 
 ; Pizza delivery boy  klpdPlz follow me 
 ; Pizza delivery boy  klpdPlz follow me 
 ; Pizza delivery boy  klpdPlz follow me 
 ; Pizza delivery boy  klpdPlz follow me 
 ; Pizza delivery boy  klpdPlz follow me 
 ; Pizza delivery boy  klpdPlz follow me 
 ; Pizza delivery boy  klpdPlz follow me 
 ; Pizza delivery boy  klpdPlz follow me 
 ; Pizza delivery boy  klpdPlz follow me 
 ; Pizza delivery boy  klpdPlz follow me 
 ; Pizza delivery boy  klpdPlz follow me 
 ; Pizza delivery boy  klpdPlz follow me 
 ; Pizza delivery boy  klpdPlz follow me 
 ; Pizza delivery boy  klpdPlz follow me 
 ; Pizza delivery boy  klpdPlz follow me 
 ; Pizza delivery boy  klpdPlz follow me 
 ; Pizza delivery boy  klpdPlz follow me 
 ; Pizza delivery boy  klpdPlz follow me",,,
aelfred_d drawandstrike yeah well maybe 911 was radical islam but did you know jesus once whipped people and turned over tables bigot,0.874801314,neg,Negative
"afl and collingwood condemn display of anti-islam banner during  collingwood 
 ; I AM IN LOVE WITH MY SOUL",,,
"afp national id better than discriminatory muslim-only ids 
 ; Zyite is a Global retailer of Smart Watches Hover boards Tablets Drones and Wearable DevicesWe donate 10 of every sale to Autism Research and Advocacy 
 ; Zyite is a Global retailer of Smart Watches Hover boards Tablets Drones and Wearable DevicesWe donate 10 of every sale to Autism Research and Advocacy 
 ; Zyite is a Global retailer of Smart Watches Hover boards Tablets Drones and Wearable DevicesWe donate 10 of every sale to Autism Research and Advocacy",0.909741994,neg,Negative
after attack on resham khan and cousin jameel muhktar some muslim residents of east london are afraid to leave home,,,
ahmadiyya muslims were distributing true islam leaflets as part of discoverislamweek when they saw this lady in need of some assistance,0.857579265,pos,Negative
ahmeddhussen darrellsamson the ivany report recommended ns needs 7000 immigrants per annum when currently averaging c 2500 how will you fill 4500 shortfall,,,
ahmusawi hayder_alkhoei iraqwins the whole world are indebted to iraqs mothers for ridding the world from this evil non-muslim ideology,0.97375512,pos,Negative
aishaoutspoken aisleyne1 the hadith say tht every muslim must be like muhammad cause hes the best role modelhe killed so many people,,,
"ajplus i am sure some non muslim guy with a gun and with of course a mental disorder just walked by them amp they were busy with this terrorist smh 
 ; What you seek is seeking you Rumi",0.999984452,neg,Negative
"ajplus the muslim guy was like im so done with these people 
 ; Lady Gaga 
 ; Lady Gaga 
 ; Lady Gaga",,,
ajplus the woman in this case was an uncover police officer who was clearly prejudice against the muslim bro,0.301336968,pos,Negative
ajtheundefeated sulthankhan ranaayyub later onesbut their breed remains of the invaders to kill hindus and put islam,,,
"akbar articulates many of the feelings i have these dayswhen did my friends change or have i changedi dont kno 
 ; Intresting tidbits about life full of love travel politics books and at times just to laugh out loud at your expense - 
 ; Intresting tidbits about life full of love travel politics books and at times just to laugh out loud at your expense - 
 ; Intresting tidbits about life full of love travel politics books and at times just to laugh out loud at your expense -",0.97774209,neg,Negative
"akbayan muslim id scheme is discriminatory and oppressive 
 ; Senator - Para sa kalusugang pangkalahatan Akbayan Chairperson - para sa magandang laban",,,
akileshgowda1 evasharma9 rather we ask questions and civilisation is indebted to islam - see obama speech in cairo,0.89241193,neg,Negative
albericie mehdirhasan lateline why are you bothering with this muslim brotherhood racist garbage seen his clip where he calls non muslims apes and pigs,,,
"alert police pull over muslim refugee horrified to find what was in the car 
 ; Retired  and a licensed Ham",0.986751935,pos,Negative
algbrah1 sadiqkhan dont you know there are levels of islam  moderates amp progressives that drink alcohol etc rightwing islam as bad as neocons in us,,,
alhamdhulillaah many muslim clerics should take heed to the following quranic verse 4085 in context of their stance and faith but their professing of,0.670959483,pos,Negative
alhamdulillah for the gift of islam which without we would be lost in both this life and the next never take your gift for granted,,,
alhulknutrition silent952 trobinsonnewera i think u have posted half side of news  that man was a muslim,0.685388336,neg,Negative
alhulknutrition yajkushal20 trobinsonnewera a state founded entirely upon islam amp muslim self-segregation has been a disastrous failure anyone surprisedsalmanrushdie pakistansucks,,,
alhulknutrition yajkushal20 trobinsonnewera lol mustve been hungry then again deaths over stupid things happen in muslim countries but these lot act like nothing happens in theirs,0.904164981,neg,Negative
alimalik1x this_is_zinc what u said is pure kufr allah condemned nation of lut learn islam,,,
